tutorialarea_shop_title,売りもの一覧
area_shop_levelMaxSoldOut,これ以上\nレベルアップできません
area_shopCouplingTalkUnlock_message,{0}レベル[-]{1}{2}[-]{3}で解放[-]
band_deckEdit_setupMainBandButton,メイン\n設定
band_deckEditSituationSelect_memberListLabel,メンバー一覧
band_deckEditSituationSelect_caption,入れ替えるメンバーを選択しよう！
band_exchange_cellExchangeButton,交換
band_exchange_cellExchangeUpperLabel,交換上限に達したため\nこれ以上交換できません
band_exchange_cellExchangeUpperLabel_isHaving,獲得済みのため\n交換できません
band_exchange_cellExpirationLabel,{0}まで
band_exchange_cellResetBalloonMonthly,毎月１日に\nリセット
band_exchange_cellResetBalloonWeekly,毎週月曜日に\nリセット
band_exchange_headerGetSealButton,シールを獲得
band_exchange_duplicatedDialogMessage,既にプレゼントにあるため交換できません。
band_exchange_expiresDialogMessage,交換期限が切れているため交換できません。
band_exchange_expiresDialogTitle,期限切れ
band_exchange_expiresLabel,交換期限
band_exchange_badgeAlert,交換期限を過ぎたバッジはなくなります。次回イベントには引き継げませんのでご注意ください。
band_exchange_eventTitle,交換アイテム一覧 [{0}]
band_memberList_waitingRoomButton,控え室
band_practice_emptyTicket,練習チケットを所持していません。
band_situationDetail_changeIllustButton,イラスト変更
band_situationDetail_episodeButton,エピソード
band_situationDetail_expandButton,拡大
band_situationDetail_forLevelUp,あと
band_situationDetail_memorialEpisodeButton,メモリアルエピソード
band_situationDetail_practiceButton,練習
band_situationDetail_trainingButton,特訓
band_situationDetail_emptyEpisode,このメンバーにエピソードはありません。
band_situationDetail_buttonSkillPractice,スキル\n練習
band_skillPractice_emptyTicket,スキル練習チケットを所持していません。
band_skillPractice_tabSkillTicket,チケット
band_skillPractice_tabWaitingRoom,控え室
band_sortingKind_level,レベル
band_sortingKind_paramAll,総合力
band_sortingKind_paramPerformance,パフォーマンス
band_sortingKind_paramTechnique,テクニック
band_sortingKind_paramVisual,ビジュアル
band_sortingKind_rarity,レアリティ
band_sortingKind_timestamp,入手順
band_sortingKind_skillLevel,スキルLv.
band_sortingOrder_asc,昇順
band_sortingOrder_desc,降順
band_top_deckEditButton,バンド編成
band_top_exchangeShopButton,交換所
band_top_memberListButton,メンバー一覧
band_top_profileButton,プロフィール
band_training_emptyMessage,特訓可能なメンバーはいません。
band_waitingRoom_allExchangeSelectButton,　全員を選択
band_waitingRoom_emptyMemberMessage,メンバーがいません。
band_waitingRoom_exchangeButton,交換
band_waitingRoom_getMichelleSealLabel,獲得ミッシェルシール
band_waitingRoom_selectedCardLabel,{0}人選択中
bandEdit_editError_title,編成エラー
bandEdit_memberShortageError_contents,メインバンドにはメンバーを5人設定してください。
challengeEvent_common_scoreRankingCheckButton,スコアランキング
challengeEvent_common_scoreRankingRewardCheckButton,スコアランキング報酬
challengeEvent_common_deckBonus,編成ボーナス
challengeEvent_top_challengeLiveEvent,チャレンジLIVEイベント
challengeEvent_top_description,チャレンジPを集めてチャレンジ楽曲をプレイ!
challengeEvent_result_scoreaAttackCP_Description,※チャレンジ楽曲ではチャレンジPの獲得はありません。
challengeEvent_result_scoreaAttackMember_Description,※チャレンジ楽曲の獲得イベントPには\n   メンバーボーナスは発揮しません。
challengeEvent_ranking_description,ハイスコアは全難易度の中から一番高いスコアを記録します。スコアが同じ場合、順位は先着順となります。
characterSelect_description,キャラクターを選択してください
commonEvent_complete_storyBR,すべてのストーリーを\n解放しました。
commonEvent_complete_reward,すべての報酬を獲得しました。
commonEvent_currentGrade,現在の順位
commonEvent_eventNotEntry,イベントは終了いたしました。\n次回開催をお待ちください。
commonEvent_eventPoint,イベントP
commonEvent_eventPRanking,イベントPランキング
commonEvent_getEventPoint,獲得イベントP
commonEvent_nextStory,次のストーリー
commonEvent_silde_title,遊び方
commonEvent_requireNextReward,次の報酬
commonEvent_rewardDistributionDescription,報酬の付与は {0}頃を予定しております
commonEvent_point,{0}P
commonEvent_ranking_personal,{0}位
commonEvent_releasedStory,{0}/{1}話   解放済み
commonEvent_status_open,開催期間
commonEvent_status_open_day,開催日
commonEvent_status_collection,集計期間
commonEvent_status_result,発表期間
commonEvent_story_descriptionLive,イベントPやバッジをゲット！
commonEvent_totalPoint,累計イベントP
commonEvent_eventBoxGacha_title,まりなさんからごほうびをもらおう！
costume_defaultDescription,編成メンバーの衣装
costume_defaultDescriptionDetail,※メイン設定で編成されていないメンバーは「ステージ」の衣装になります。
degreeSelect_currentDegree_caption,現在の称号
degreeSelect_message_notExist,獲得済みの称号がありません。
degreeSelect_selectDegree_eventTab,イベント
degreeSelect_selectDegree_normalTab,通常
degreeSelect_selectDegree_caption,変更する称号
difficulty_easy,EASY
difficulty_normal,NORMAL
difficulty_hard,HARD
difficulty_expert,EXPERT
dialog_achievement_a,A
dialog_achievement_b,B
dialog_achievement_c,C
dialog_achievement_combo_english,COMBO
dialog_achievement_combo,コンボ
dialog_achievement_fullCombo,フルコンボ
dialog_achievement_reward,達成報酬
dialog_achievement_s,S
dialog_achievement_ss,SS
dialog_achievement_score,スコア
dialog_achievement_scoreRank,スコアランク
dialog_achievement_viewReward,達成報酬一覧
dialog_ageAuth_attention,※途中から変更することはできません※
dialog_ageAuth_errorMessage,生年月が正しくありません。
dialog_ageAuth_message,生年月を入力してください。
dialog_ageAuth_title,年齢確認
dialog_ageAuth_wordChristianEra,西暦
dialog_ageAuth_wordMonth,月生
dialog_ageAuth_wordYear,年
dialog_ageAuthDone_message,[505050]年齢を確認しました。[-]
dialog_ageAuthDone_message15,[505050]年齢を確認しました。[-]\n\n[FE2349]あなたの課金上限\n１６歳未満　月額５，４００円まで[-]
dialog_ageAuthDone_message16,[505050]年齢を確認しました。[-]\n\n[FE2349]あなたの課金上限\n１６歳以上２０歳未満　月額１０，８００円まで[-]
dialog_ageAuthDone_title,入力完了
dialog_ageAuthPurchaseError_upperMessage15,[505050]今月の課金上限に達しました。[-]\n\n[FE2349]あなたの課金上限\n１６歳未満　月額５，４００円まで[-]
dialog_ageAuthPurchaseError_upperMessage16,[505050]今月の課金上限に達しました。[-]\n\n[FE2349]あなたの課金上限\n１６歳以上２０歳未満　月額１０，８００円まで[-]
dialog_ageAuthPurchaseError_title,購入エラー
dialog_areaItemDetail_title,エリアアイテム詳細
dialog_areaShop_buyConfirm,このエリアアイテムを購入しますか？
dialog_areaShop_buyMusicConfirm,この楽曲を購入しますか？
dialog_areaShop_levelupConfirm,このエリアアイテムをレベルアップしますか？
dialog_areaShop_buy,購入しました！
dialog_areaShop_buyMusic,楽曲を購入しました！
dialog_areaShop_levelup,エリアアイテムをレベルアップしました！
dialog_areaShop_replace,設置中のエリアアイテムと置き換えますか？
dialog_areaShop_send,購入したエリアアイテムを倉庫に送りました。
dialog_areaShop_requireFormat,{0}/{1}
dialog_areaShop_bandRank,バンドランク
dialog_areaShop_requireItem,必要アイテム
dialog_areaShop_requireItemAndBandRank,必要アイテム・バンドランク
dialog_areaShopReplace_replaceButton,置きかえる
dialog_areaShopReplace_putting,設置中
dialog_areaItemDetail_captionFlavor,説明
dialog_areaItemDetail_captionLevel,レベル
dialog_areaItemDetail_captionParamUp,エリアアイテム効果
dialog_areaItemDetail_captionPlace,設置場所
dialog_areaItemDetail_effect,効果
dialog_areaItemDetail_tabDetail,詳細情報
dialog_areaItemDetail_tabTalk,発生会話
dialog_areaItemDetail_requireItem,必要コイン・アイテム
dialog_badPenalty_leftTime,機能制限中：あと
dialog_badPenalty_message,お客様のライブにおいて他のお客様に迷惑がかかる行為が確認された為、現在一時的に機能を制限させて頂いております。\nご了承ください。
dialog_badPenalty_title,ご注意
dialog_bandNameChange_message,バンド名の変更が完了しました。
dialog_bandNameChange_title,バンド名変更
dialog_bandNameChangeError_message,バンド名の変更に失敗しました。
dialog_bandRankReward_title,バンドランク報酬一覧
dialog_bandRankReward_untilRankup,ランクアップまで
dialog_bandRankReward_totalExp,累計EXP
dialog_bandRankReward_bandStoryDescription,バンドストーリー1章「{0}」\n{1}
dialog_bandRankReward_areaItemDescription,{0}レベル上限{1}が解放
dialog_bandRankReward_rewardDegree,称号「{0}」
dialog_bandRankReward_rewardList_title,報酬獲得
dialog_bandRankReward_rewardList_description,バンドランク達成報酬を獲得しました！
dialog_playerSearchError_message,指定のプレイヤーが見つかりません。
dialog_playerSearchError_title,エラー
dialog_playerSearch_description,プレイヤーのIDを入力してください。
dialog_playerSearch_searchButtonLabel,検索
dialog_billingNotSurpported_message,お使いの端末では購入が行えません。
dialog_expendCP_title,消費チャレンジP選択
dialog_expendCP_warning,※消費するチャレンジPが多いほど、イベントPを多く獲得できます。\n※消費するチャレンジPによるスコアの影響はありません。\n※チャレンジ楽曲では、ライブブーストは消費されません。
dialog_expendCP_shortage,所持チャレンジPが足りません。
dialog_cheatError_message,不正な通信が発生したため\nタイトルに戻ります。
dialog_costume_getMessage,新しい衣装を入手しました。
dialog_costume_getTitle,衣装入手
dialog_deckEditBandName_title,バンド名変更
dialog_deckEditDeleteDeck_message,このバンドをリセットします。\n本当によろしいですか？
dialog_deckEditDeleteDeck_title,リセット
dialog_deckEditDeleteDeckDone_message,バンドをリセットしました。
dialog_deckEditDeleteDeckDone_title,リセット
dialog_deckEditDeleteDeckError_message,バンドのリセットに失敗しました。
dialog_deckEditMainBandSelected_message,{0}をメインバンドに設定しました。
dialog_deckEditMainBandSelected_title,メインバンド変更
dialog_deckEditNotEnoughMemberError_message,メンバーが５人設定されていないため、\nメインバンドにできません。
dialog_deckEditSameCharacterTitle,入れ替え確認
dialog_deckEditSameCharacterWarning,すでに同じキャラクターが編成されています。\n編成している「{0} {1}」と入れ替えますが、\nよろしいですか？
dialog_deckNameEdit_attentionMessage,８文字以内
dialog_deckNameEdit_message,バンド名を入力してください。
dialog_deckNameEdit_placeholder,バンド名
dialog_deckNameEdit_title,バンド名
dialog_deckRecommend_title,おすすめ編成
dialog_deckRecommend_captionPriority,優先順位
dialog_deckRecommend_caption,優先するバンド
dialog_deckRecommend_captionType,優先するタイプ
dialog_deckRecommend_noConditions,指定なし
dialog_deckRecommend_priorityType,タイプ
dialog_deckRecommend_priorityBand,バンド
dialog_deckRecommend_finishDeckChange,おすすめでバンドを編成しました
dialog_degreeDetail_title,称号詳細
dialog_degreeDetail_acquiredCondition,説明
dialog_editUserName_title,プレイヤー名入力
dialog_editUserName_body,あなたの名前を入力してください。
dialog_editUserName_limitWord,10文字以内
dialog_editUserName_canChangeMessage,※ユーザー名は後から変更できます※
dialog_encoreConfirm_title,もう1回ライブ
dialog_encoreConfirm_message,同じルームに入室して\nもう１回ライブをしますか？
dialog_episodeConfirm_message,エピソード「{0}」\nを読みますか？
dialog_episodeConfirm_title,エピソード
dialog_episodeParamUp_title,エピソード達成ボーナス
dialog_episodeParamUp_description,の\nパラメータがＵＰしました！
dialog_episodePlay_title,エピソード
dialog_episodeRead_title,エピソード達成ボーナス
dialog_episodeUnlock_message,以下のアイテムを消費して、\nエピソード「{0}」を解放しますか？
dialog_episodeUnlock_needLevelLabel,解放可能レベル {0}以上
dialog_episodeUnlock_title,エピソード解放
dialog_episodeUnlockedError_message,データが不正です。
dialog_episodeUnlocked_message,エピソード「{0}」を解放しました。\nこのまま見ますか？
dialog_episodeUnlocked_title,解放完了
dialog_exchange_exchangeCount,交換数
dialog_exchange_exchangeButton,交換
dialog_exchange_exchangeOkButton,OK
dialog_exchangeDone_title,交換しました！
dialog_exchangeQuantity_title,いくつ交換しますか？
dialog_exchangeConfirm_title,交換数を確認してください
dialog_exchange_periodOver,交換期間は終了しました。
dialog_event_close,イベントは終了しました。
dialog_eventResultBadUserAlert_title,ご注意
dialog_eventResultBadUserAlert_message,お客様のライブにおいて、\n一定以上の基準に達しなかったため、\n獲得イベントP等は０となります\nご了承ください。
dialog_eventReward_title,報酬獲得
dialog_eventReward_description,累計{0}P達成報酬を獲得しました！
dialog_eventRewardBoxGacha_deadline_title,開催期限
dialog_eventRewardBoxGacha_deadlineDateFormat,MM/dd　HH:mmまで
dialog_eventRewardBoxGacha_currentSet_title,{0}箱目
dialog_eventRewardBoxGacha_lastSet_title,{0}箱目以降
dialog_eventRewardBoxGacha_attentionReward_title,注目のごほうび
dialog_eventRewardBoxGacha_changeBox,次のごほうび箱へ進む
dialog_eventRewardBoxGacha_rewardList_title,ごほうび箱の中身
dialog_eventRewardBoxGacha_special,スペシャル
dialog_eventRewardBoxGacha_possession,所持
dialog_eventRewardBoxGacha_medalCount,枚
dialog_eventRewardBoxGacha_resetFinish_title,リセット完了
dialog_eventRewardBoxGacha_confirm,確認
dialog_eventRewardBoxGacha_medalUnit,枚
